#    ID             RA        E_RA       DEC      E_DEC    S180    E_S180    SI      E_SI 
 J0722.1-1848     110.54     0.35     -18.81     0.33     12.41     1.32    -0.87     0.17
 J2137.8-2042     324.46     0.35     -20.71     0.33     12.32     1.31    -0.14     0.17
 J2229.7-3823     337.45     0.34     -38.39     0.33     12.23     1.30    -0.24     0.17
 J2156.9-1813     329.24     0.35     -18.23     0.33     12.22     1.30    -1.05     0.17
 J0412.8-5600     63.21     0.34     -56.01     0.34     12.02     1.28    -0.79     0.17
 J0334.1-3900     53.54     0.46     -39.01     0.48     12.00     1.28    -0.10     0.18
 J0709.3-3602     107.35     0.53     -36.04     0.42     11.91     1.24    -0.95     0.14
 J2118.1-3019     319.54     0.35     -30.32     0.33     11.78     1.26    -0.77     0.17
 J2302.4-3717     345.60     0.34     -37.30     0.33     11.77     1.22    -0.44     0.14
 J0720.2-5525     110.07     0.34     -55.42     0.34     11.41     1.21    -0.86     0.17
 J0312.7-1450     48.20     0.35     -14.83     0.33     11.30     1.20    -0.69     0.17
 J0038.4-3859     9.61     0.34     -39.00     0.33     11.29     1.20    -0.92     0.17
 J2131.0-2036     322.75     0.35     -20.62     0.33     11.15     1.19    -0.76     0.17
 J0400.2-1610     60.07     0.35     -16.17     0.33     11.08     1.18    -0.85     0.17
 J2256.8-5158     344.20     0.34     -51.97     0.33     11.06     1.18    -0.73     0.17
 J0225.0-2312     36.27     0.34     -23.22     0.33     11.00     1.17    -0.70     0.17
 J0706.5-2311     106.64     0.35     -23.20     0.33     10.99     1.17    -0.35     0.17
 J2123.0-1628     320.76     0.35     -16.47     0.33     10.97     1.18    -1.17     0.19
 J0747.3-1856     116.84     0.35     -18.95     0.33     10.92     1.17    -0.87     0.17
 J0810.6-4923     122.67     0.34     -49.40     0.33     10.81     1.17    -1.18     0.17
 J0604.2-3156     91.06     0.35     -31.93     0.33     10.78     1.15    -0.34     0.17
 J0023.1-2502     5.79     0.34     -25.05     0.33     10.75     1.14    -0.62     0.17
 J0456.1-2159     74.05     0.35     -21.99     0.33     10.73     1.14    -0.74     0.17
 J0003.3-1727     0.84     0.34     -17.46     0.33     10.63     1.13    -0.64     0.17
 J2219.7-2756     334.93     0.35     -27.94     0.33     10.45     1.11    -0.18     0.17
 J0603.2-3426     90.80     0.35     -34.44     0.33     10.45     1.11    -0.80     0.17
 J0620.0-3711     95.01     0.34     -37.19     0.33     10.41     1.08    -0.68     0.14
 J2206.1-1835     331.54     0.35     -18.59     0.33     10.40     1.11    -0.39     0.17
 J2255.7-5244     343.94     0.35     -52.74     0.36     10.30     1.11    -0.62     0.17
